Year,Actor,winner
1983,Amy Irving,0
1983,Alfre Woodard,0
1984,Peggy Ashcroft,1
1984,Glenn Close,0
1984,Lindsay Crouse,0
1984,Christine Lahti,0
1984,Geraldine Page,0
1985,Anjelica Huston,1
1985,Margaret Avery,0
1985,Amy Madigan,0
1985,Meg Tilly,0
1985,Oprah Winfrey,0
1986,Dianne Wiest,1
1986,Tess Harper,0
1986,Piper Laurie,0
1986,Mary Elizabeth Mastrantonio,0
1986,Maggie Smith,0
1987,Olympia Dukakis,1
1987,Norma Aleandro,0
1987,Anne Archer,0
1987,Anne Ramsey,0
1987,Ann Sothern,0
1988,Geena Davis,1
1988,Joan Cusack,0
1988,Frances McDormand,0
1988,Michelle Pfeiffer,0
1988,Sigourney Weaver,0
1989,Brenda Fricker,1
1989,Anjelica Huston,0
1989,Lena Olin,0
1989,Julia Roberts,0
1989,Dianne Wiest,0
1990,Whoopi Goldberg,1
1990,Annette Bening,0
1990,Lorraine Bracco,0
1990,Diane Ladd,0
1990,Mary McDonnell,0
1991,Mercedes Ruehl,1
1991,Diane Ladd,0
1991,Juliette Lewis,0
1991,Kate Nelligan,0
1991,Jessica Tandy,0
1992,Marisa Tomei,1
1992,Judy Davis,0
1992,Joan Plowright,0
1992,Vanessa Redgrave,0
1992,Miranda Richardson,0
1993,Anna Paquin,1
1993,Holly Hunter,0
1993,Rosie Perez,0
1993,Winona Ryder,0
1993,Emma Thompson,0
1994,Dianne Wiest,1
1994,Rosemary Harris,0
1994,Helen Mirren,0
1994,Uma Thurman,0
1994,Jennifer Tilly,0
1995,Mira Sorvino,1
1995,Joan Allen,0
1995,Kathleen Quinlan,0
1995,Mare Winningham,0
1995,Kate Winslet,0
1996,Juliette Binoche,1
1996,Joan Allen,0
1996,Lauren Bacall,0
1996,Barbara Hershey,0
1996,Marianne Jean-Baptiste,0
1997,Kim Basinger,1
1997,Joan Cusack,0
1997,Minnie Driver,0
1997,Julianne Moore,0
1997,Gloria Stuart,0
1998,Judi Dench,1
1998,Kathy Bates,0
1998,Brenda Blethyn,0
1998,Rachel Griffiths,0
1998,Lynn Redgrave,0
1999,Angelina Jolie,1
1999,Toni Collette,0
1999,Catherine Keener,0
1999,Samantha Morton,0
1999,Chloë Sevigny,0
2000,Marcia Gay Harden,1
2000,Judi Dench,0
2000,Kate Hudson,0
2000,Frances McDormand,0
2000,Julie Walters,0
2001,Jennifer Connelly,1
2001,Helen Mirren,0
2001,Maggie Smith,0
2001,Marisa Tomei,0
2001,Kate Winslet,0
2002,Catherine Zeta-Jones,1
2002,Kathy Bates,0
2002,Julianne Moore,0
2002,Queen Latifah,0
2002,Meryl Streep,0
2003,Renée Zellweger,1
2003,Shohreh Aghdashloo,0
2003,Patricia Clarkson,0
2003,Marcia Gay Harden,0
2003,Holly Hunter,0
2004,Cate Blanchett,1
2004,Laura Linney,0
2004,Virginia Madsen,0
2004,Sophie Okonedo,0
2004,Natalie Portman,0
2005,Rachel Weisz,1
2005,Amy Adams,0
2005,Catherine Keener,0
2005,Frances McDormand,0
2005,Michelle Williams,0
2006,Jennifer Hudson,1
2006,Adriana Barraza,0
2006,Cate Blanchett,0
2006,Abigail Breslin,0
2006,Rinko Kikuchi,0
2007,Tilda Swinton,1
2007,Cate Blanchett,0
2007,Ruby Dee,0
2007,Saoirse Ronan,0
2007,Amy Ryan,0
2008,Penélope Cruz,1
2008,Amy Adams,0
2008,Viola Davis,0
2008,Taraji P. Henson,0
2008,Marisa Tomei,0
2009,Mo'Nique,1
2009,Penélope Cruz,0
2009,Vera Farmiga,0
2009,Maggie Gyllenhaal,0
2009,Anna Kendrick,0
2010,Melissa Leo,1
2010,Amy Adams,0
2010,Helena Bonham Carter,0
